timestamp_ms,ue_imsi,cell_id,is_serving,rsrp_dbm,rsrq_db,rssi_dbm,sinr_db,rsrp_3gpp,rsrq_3gpp,sinr_3gpp
401,7,4,1,-66.5386,-10.7991,-41.2679,27.7363,89,64,101
401,7,5,0,-105.68,-49.9402,-41.2679,-39.1479,50,0,0
401,8,2,0,-95.5881,-15.0146,-66.1019,-2.15934,60,56,42
401,8,3,0,-107.265,-26.6913,-66.1019,-15.7864,49,33,14
401,8,4,1,-97.1203,-16.5468,-66.1019,-4.41335,59,53,37
401,8,5,0,-96.2101,-15.6366,-66.1019,-3.12025,60,55,40
401,9,2,0,-74.7193,-10.8395,-49.4082,19.574,81,64,85
401,9,3,0,-102.718,-38.8384,-49.4082,-28.0398,53,8,0
401,9,4,1,-95.1418,-31.262,-49.4082,-20.431,61,23,5
401,9,5,0,-109.722,-45.8423,-49.4082,-35.0491,46,0,0
401,10,2,0,-74.3332,-14.7501,-45.1115,-1.72562,82,56,43
401,10,3,0,-106.421,-46.8374,-45.1115,-36.0445,50,0,0
401,10,4,0,-97.3386,-37.7555,-45.1115,-26.9549,59,10,0
401,10,5,1,-72.6242,-13.041,-45.1115,1.68445,83,60,49
501,1,2,0,-100.257,-32.6308,-53.155,-21.8105,56,21,2
501,1,3,0,-78.6955,-11.0689,-53.155,11.8119,77,64,70
501,1,4,0,-108.38,-40.7531,-53.155,-29.9569,48,4,0
501,1,5,1,-91.0842,-23.4577,-53.155,-12.4242,65,39,21
501,2,2,0,-105.655,-46.524,-44.6594,-35.731,50,0,0
501,2,3,0,-110.157,-51.026,-44.6594,-40.2338,46,0,0
501,2,4,0,-109.847,-50.7158,-44.6594,-39.9236,46,0,0
501,2,5,1,-69.9249,-10.7939,-44.6594,33.1645,86,64,112
501,3,2,0,-89.4986,-19.6889,-55.3381,-8.29771,67,47,29
501,3,3,1,-101.836,-32.0259,-55.3381,-21.2013,54,22,4
501,3,4,0,-103.914,-34.1043,-55.3381,-23.2921,52,18,0
501,3,5,0,-81.2632,-11.4535,-55.3381,7.83629,75,63,62
501,4,2,0,-102.535,-31.1181,-56.9453,-20.2859,53,24,5
501,4,3,0,-107.36,-35.9433,-56.9453,-25.1382,49,14,0
501,4,4,0,-83.9602,-12.5433,-56.9453,3.03858,72,61,52
501,4,5,1,-87.1675,-15.7506,-56.9453,-3.28872,69,54,39
501,5,2,0,-104.261,-27.6014,-62.1882,-16.7181,52,31,13
501,5,3,1,-95.7019,-19.0421,-62.1882,-7.5465,60,48,31
501,5,4,0,-88.344,-11.6843,-62.1882,6.41819,68,63,59
501,5,5,0,-105.917,-29.2571,-62.1882,-18.403,50,27,9
501,6,2,0,-108.934,-37.9242,-56.5385,-27.124,47,10,0
501,6,3,0,-114.739,-43.7289,-56.5385,-32.9349,41,0,0
501,6,4,0,-109.655,-38.6452,-56.5385,-27.8462,46,9,0
501,6,5,1,-81.8209,-10.8108,-56.5385,23.5757,74,64,93
501,7,2,0,-99.1685,-44.4503,-40.2466,-33.6567,57,0,0
501,7,3,0,-103.105,-48.3868,-40.2466,-37.5942,53,0,0
501,7,4,1,-65.5129,-10.7948,-40.2466,31.6519,90,64,109
501,7,5,0,-106.952,-52.2343,-40.2466,-41.4422,49,0,0
501,8,2,0,-96.2517,-16.3663,-65.4138,-4.16556,60,53,38
501,8,3,0,-108.587,-28.7014,-65.4138,-17.8388,47,29,10
501,8,4,1,-95.0689,-15.1835,-65.4138,-2.42786,61,56,41
501,8,5,0,-95.3524,-15.467,-65.4138,-2.86552,61,55,40
501,9,2,0,-75.0483,-10.8608,-49.716,17.9574,81,64,82
501,9,3,0,-100.269,-36.0812,-49.716,-25.2765,56,14,0
501,9,4,1,-94.1153,-29.9278,-49.716,-19.0826,62,26,8
501,9,5,0,-107.708,-43.5208,-49.716,-32.7266,48,0,0
501,10,2,0,-71.067,-13.3219,-43.2736,1.02027,85,59,48
501,10,3,0,-107.903,-50.1576,-43.2736,-39.3652,48,0,0
501,10,4,0,-98.1083,-40.3632,-43.2736,-29.5666,58,5,0
501,10,5,1,-72.0994,-14.3543,-43.2736,-1.04199,84,57,44
601,1,2,0,-98.9521,-30.1604,-54.3202,-19.318,57,26,7
601,1,3,0,-79.8806,-11.0889,-54.3202,11.5002,76,64,69
601,1,4,0,-106.703,-37.9114,-54.3202,-27.1111,49,10,0
601,1,5,1,-92.3876,-23.5958,-54.3202,-12.5701,64,39,21
601,2,2,0,-106.991,-45.4639,-47.0555,-34.6706,49,0,0
601,2,3,0,-110.52,-48.9925,-47.0555,-38.2,45,0,0
601,2,4,0,-110.955,-49.4279,-47.0555,-38.6355,45,0,0
601,2,5,1,-72.3218,-10.7947,-47.0555,31.791,84,64,110
601,3,2,0,-91.3634,-19.9288,-56.963,-8.57199,65,46,29
601,3,3,1,-101.863,-30.4289,-56.963,-19.5896,54,25,7
601,3,4,0,-104.083,-32.6482,-56.963,-21.828,52,21,2
601,3,5,0,-82.8799,-11.4453,-56.963,7.89474,73,63,62
601,4,2,0,-103.62,-30.9086,-58.2397,-20.0743,52,24,6
601,4,3,0,-107.798,-35.0871,-58.2397,-24.2791,48,16,0
601,4,4,0,-86.4864,-13.7752,-58.2397,0.0539888,70,58,46
601,4,5,1,-86.6635,-13.9522,-58.2397,-0.295208,69,58,45
601,5,2,0,-103.437,-26.6642,-62.3014,-15.7586,53,33,14
601,5,3,1,-94.9173,-18.1443,-62.3014,-6.46956,61,50,33
601,5,4,0,-88.6886,-11.9156,-62.3014,5.29681,67,62,57
601,5,5,0,-105.24,-28.4673,-62.3014,-17.6006,51,29,11
601,6,2,0,-107.401,-38.0349,-54.8944,-27.2349,49,10,0
601,6,3,0,-113.92,-44.5544,-54.8944,-33.7607,42,0,0
601,6,4,0,-108.615,-39.2488,-54.8944,-28.4507,47,8,0
601,6,5,1,-80.1749,-10.8089,-54.8944,24.0384,76,64,94
601,7,2,0,-96.2313,-40.7094,-41.0503,-29.9132,60,5,0
601,7,3,0,-102.234,-46.712,-41.0503,-35.9191,54,0,0
601,7,4,1,-66.3196,-10.7978,-41.0503,28.6103,90,64,103
601,7,5,0,-106.672,-51.1497,-41.0503,-40.3575,49,0,0
601,8,2,0,-97.6613,-17.0551,-66.1346,-5.09191,58,52,36
601,8,3,0,-106.859,-26.253,-66.1346,-15.3359,49,33,15
601,8,4,1,-95.045,-14.4388,-66.1346,-1.19185,61,57,44
601,8,5,0,-96.6165,-16.0103,-66.1346,-3.66501,59,54,39
601,9,2,0,-75.3434,-10.8547,-50.0171,18.3595,81,64,83
601,9,3,0,-100.51,-36.0212,-50.0171,-25.2163,55,14,0
601,9,4,1,-94.8978,-30.4091,-50.0171,-19.5696,61,25,7
601,9,5,0,-109.314,-44.8248,-50.0171,-34.0313,47,0,0
601,10,2,0,-72.1944,-14.3658,-43.357,-1.06256,84,57,44
601,10,3,0,-106.981,-49.1526,-43.357,-38.3602,49,0,0
601,10,4,0,-96.0855,-38.2569,-43.357,-27.4573,60,9,0
601,10,5,1,-71.1469,-13.3184,-43.357,1.02815,85,59,48
701,1,2,0,-99.2832,-31.4861,-53.3256,-20.6571,57,23,5
701,1,3,0,-78.7407,-10.9435,-53.3256,14.4913,77,64,75
701,1,4,0,-109.213,-41.4153,-53.3256,-30.6197,47,3,0
701,1,5,1,-94.6434,-26.8463,-53.3256,-15.9454,61,32,14
701,2,2,0,-104.614,-45.3083,-44.8342,-34.515,51,0,0
701,2,3,0,-112.605,-53.2994,-44.8342,-42.5073,43,0,0
701,2,4,0,-108.292,-48.986,-44.8342,-38.1936,48,0,0
701,2,5,1,-70.1001,-10.7943,-44.8342,32.359,86,64,111
701,3,2,0,-90.3007,-20.2913,-55.5378,-8.98257,66,45,28
701,3,3,1,-100.621,-30.6121,-55.5378,-19.7748,55,25,6
701,3,4,0,-103.514,-33.5047,-55.5378,-22.6896,52,19,1
701,3,5,0,-81.3972,-11.3877,-55.5378,8.32451,75,63,63
701,4,2,0,-100.448,-28.6128,-57.3641,-17.7487,56,29,11
701,4,3,0,-107.464,-35.6286,-57.3641,-24.8225,49,15,0
701,4,4,0,-85.7364,-13.9007,-57.3641,-0.195082,70,58,46
701,4,5,1,-85.716,-13.8803,-57.3641,-0.15495,70,58,46
701,5,2,0,-103.206,-25.3889,-63.346,-14.4437,53,35,17
701,5,3,1,-94.7025,-16.885,-63.346,-4.86768,61,52,36
701,5,4,0,-90.155,-12.3375,-63.346,3.69099,66,61,53
701,5,5,0,-106.173,-28.3553,-63.346,-17.4867,50,29,11
701,6,2,0,-108.292,-37.1745,-56.6463,-26.3727,48,12,0
701,6,3,0,-113.411,-42.2934,-56.6463,-31.4985,43,1,0
701,6,4,0,-108.448,-37.3305,-56.6463,-26.5291,48,11,0
701,6,5,1,-81.9337,-10.8159,-56.6463,22.5557,74,64,91
701,7,2,0,-98.2914,-44.7663,-39.0535,-33.9728,58,0,0
701,7,3,0,-102.232,-48.7067,-39.0535,-37.9142,54,0,0
701,7,4,1,-64.3196,-10.7945,-39.0535,32.0923,92,64,110
