timestamp,ue_id,x_est,y_est,x_true,y_true
1784546890796,7,461.951442662665,655.135109404991,463.622,656.423
1784546890896,7,461.813040879788,654.705783589892,463.42,655.922
1784546890996,7,461.667781496965,654.277916837714,463.219,655.42
1784546891096,7,461.515526364414,653.851719180014,463.017,654.919
1784546891196,7,461.356160499795,653.427396790634,462.816,654.417
1784546891296,7,461.189580469682,653.005155592307,462.614,653.915
1784546891396,7,461.015691456408,652.585203246062,462.412,653.414
1784546891496,7,460.834407639256,652.167749450564,462.211,652.912
1784546891596,7,460.645652062999,651.753006467677,462.009,652.411
1784546891696,7,460.449356949136,651.341187394826,461.808,651.909
1784546891796,7,460.245463372837,650.932504666829,461.606,651.408
1784546891896,7,460.033921265771,650.527169646074,461.405,650.906
1784546891996,7,459.814687067596,650.125389152164,461.203,650.405
1784546892096,7,459.587721538909,649.727366037225,461.002,649.903
1784546892196,7,459.352992391533,649.333301063808,460.8,649.401
1784546892296,7,459.110471588197,648.943394222957,460.598,648.9
1784546892396,7,458.860132378503,648.55784407206,460.397,648.398
1784546892496,7,458.601950434149,648.176846806577,460.195,647.897
1784546892596,7,458.335907349475,647.80059407531,459.994,647.395
1784546892696,7,458.061989104756,647.429273304296,459.792,646.894
1784546892796,7,457.780184872528,647.063066532285,459.591,646.392
1784546892896,7,457.490488314568,646.702148227134,459.389,645.891
1784546892996,7,457.192899997215,646.346684775176,459.188,645.389
1784546893096,7,456.887426717405,645.996835285947,458.986,644.887
1784546893196,7,456.57408289478,645.652750811932,458.784,644.386
1784546893296,7,456.252895961235,645.314572612336,458.583,643.884
1784546893396,7,455.923912901388,644.982427984992,458.381,643.383
1784546893496,7,455.58719861691,644.656430389243,458.18,642.881
1784546893596,7,455.242842101009,644.336680563636,457.978,642.38
1784546893696,7,454.89095801301,644.023267940117,457.777,641.878
1784546893796,7,454.531680307462,643.716271358246,457.575,641.377
1784546893896,7,454.165155127893,643.41575663905,457.374,640.875
1784546893996,7,453.79154065721,643.12177413777,457.172,640.373
1784546894096,7,453.411008828069,642.834358430712,456.97,639.872
1784546894196,7,453.023747074623,642.553527845019,456.769,639.37
1784546894296,7,452.629960108495,642.279284504582,456.567,638.869
1784546894396,7,452.229870901125,642.011611926888,456.366,638.367
1784546894496,7,451.823718811792,641.75047483771,456.164,637.866
1784546894596,7,451.411759451668,641.495820927826,455.963,637.364
1784546894696,7,450.994267761111,641.24757969239,455.761,636.863
1784546894796,7,450.571538619686,641.005662940488,455.56,636.361
1784546894896,7,450.143881078404,640.769966212597,455.358,635.859
1784546894996,7,449.711615091991,640.540370560468,455.156,635.358
1784546895096,7,449.275072301782,640.316742476891,454.955,634.856
1784546895196,7,448.834597971838,640.098934014057,454.748,634.36
1784546895296,7,448.390552925989,639.886780529734,454.095,634.329
1784546895396,7,447.943314788419,639.680097518174,453.442,634.298
1784546895496,7,447.493276890103,639.478680708919,452.788,634.267
1784546895596,7,447.040843948512,639.282307275069,452.135,634.237
1784546895696,7,446.586431711839,639.090737989434,451.481,634.206
1784546895796,7,446.130467335618,638.903719602834,450.828,634.175
1784546895896,7,445.673389887776,638.720986687978,450.174,634.144
1784546895996,7,445.215650166845,638.542262684302,449.521,634.113
1784546896096,7,444.757708130848,638.367260834805,448.867,634.083
1784546896196,7,444.300033062855,638.195685339436,448.214,634.052
1784546896296,7,443.843103956646,638.027231711861,447.561,634.021
1784546896396,7,443.387409230513,637.861585408243,446.907,633.99
1784546896496,7,442.933448159895,637.698422317535,446.254,633.959
1784546896596,7,442.481731037978,637.537410496876,445.6,633.929
1784546896696,7,442.032775881754,637.378211111226,444.947,633.898
1784546896796,7,441.587108172958,637.220479169985,444.293,633.867
1784546896896,7,441.145258405462,637.063864133375,443.64,633.836
1784546896996,7,440.707761438234,636.908010083549,442.986,633.805
1784546897096,7,440.27515604111,636.752556282643,442.333,633.775
1784546897196,7,439.847984000104,636.597137803382,441.68,633.744
1784546897296,7,439.426789794792,636.44138635793,441.026,633.713
1784546897396,7,439.012121897525,636.284931204826,440.373,633.682
1784546897496,7,438.604531865329,636.127400459877,439.719,633.651
1784546897596,7,438.20456839332,635.968421977081,439.066,633.621
1784546897696,7,437.812776217016,635.807623855657,438.412,633.59
1784546897796,7,437.429693146182,635.644634492097,437.759,633.559
1784546897896,7,437.055848792513,635.479083835896,437.105,633.528
1784546897996,7,436.691765005263,635.310603596333,436.452,633.497
1784546898096,7,436.33795535278,635.138827708345,435.799,633.467
1784546898196,7,435.994921581726,634.963393374081,435.145,633.436
1784546898296,7,435.663150701943,634.783942315315,434.492,633.405
1784546898396,7,435.343114335554,634.600121227506,433.838,633.374
1784546898496,7,435.035268350622,634.411582607307,433.185,633.343
1784546898596,7,434.740052741644,634.217985642862,432.531,633.312
1784546898696,7,434.457889710941,634.018997084224,431.878,633.282
1784546898796,7,434.189183036677,633.814292145266,431.224,633.251
1784546898896,7,433.934317448868,633.603555841883,430.571,633.22
1784546898996,7,433.693654893632,633.386485566564,429.918,633.189
1784546899096,7,433.467532170113,633.162792205895,429.264,633.158
1784546899196,7,433.256259089131,632.932200136746,428.611,633.128
1784546899296,7,433.060116015773,632.69444955077,427.957,633.097
1784546899396,7,432.879351896956,632.449303647811,427.304,633.066
1784546899496,7,432.714181441285,632.196551202725,426.65,633.035
1784546899596,7,432.564777915419,631.936008817073,425.997,633.004
1784546899696,7,432.431266841683,631.667523423031,425.343,632.974
1784546899796,7,432.313722806349,631.390973573869,424.852,632.872
1784546899896,7,432.212168575333,631.106270021216,425.271,632.369
1784546899996,7,432.126576570691,630.813356782291,425.689,631.866
1784546900096,7,432.056869839518,630.512211693919,426.108,631.363
1784546900196,7,432.002923143889,630.202844746836,426.526,630.86
1784546900296,7,431.964563933896,629.88529722661,426.945,630.358
1784546900396,7,431.941574731848,629.559641368653,427.363,629.855
1784546900496,7,431.933697393285,629.225978106244,427.782,629.352
1784546900596,7,431.940634662716,628.884437088537,428.2,628.849
1784546900696,7,431.962052570976,628.535175611301,428.619,628.347
1784546900796,7,431.997582705167,628.17837833709,429.037,627.844
1784546900896,7,432.046826770376,627.81425413242,429.456,627.341
1784546900996,7,432.109366274355,627.443024334649,429.874,626.838
1784546901096,7,432.184765910456,627.064918204937,430.293,626.336
1784546901196,7,432.272578080608,626.680170578013,430.711,625.833
1784546901296,7,432.372347513138,626.289015105941,431.13,625.33
1784546901396,7,432.483612251211,625.891681288094,431.548,624.827
1784546901496,7,432.605904389157,625.488394330905,431.967,624.325
1784546901596,7,432.738751689773,625.079375962866,432.385,623.822
1784546901696,7,432.881680105882,624.664844870887,432.804,623.319
1784546901796,7,433.034215178951,624.245013580228,433.222,622.816
1784546901896,7,433.195884146923,623.820088577829,433.641,622.314
1784546901996,7,433.366217339292,623.390269951118,434.059,621.811
1784546902096,7,433.544747855767,622.955749997139,434.478,621.308
1784546902196,7,433.731011300803,622.516711955013,434.896,620.805
1784546902296,7,433.924546414383,622.073330368564,435.315,620.302
1784546902396,7,434.12489564662,621.625770612747,435.733,619.8
1784546902496,7,434.331608844691,621.174188105909,436.152,619.297
1784546902596,7,434.544244345153,620.718727310209,436.57,618.794
1784546902696,7,434.76236847836,620.259522586994,436.989,618.291
1784546902796,7,434.98555596425,619.796699160826,437.407,617.789
1784546902896,7,435.213392390466,619.330373126525,437.826,617.286
1784546902996,7,435.44547585774,618.860651537619,438.244,616.783
1784546903096,7,435.681418679824,618.387632800538,438.663,616.28
1784546903196,7,435.920847342443,617.911407399827,439.081,615.778
1784546903296,7,436.16340152281,617.432057298814,439.5,615.275
1784546903396,7,436.408732926078,616.949657491455,439.918,614.772
1784546903496,7,436.656504009059,616.464278584844,440.337,614.269
1784546903596,7,436.906386797551,615.975990430883,440.756,613.767
1784546903696,7,437.158061731006,615.484864820715,441.174,613.264
1784546903796,7,437.411216834276,614.990977769716,441.593,612.761
1784546903896,7,437.665548443695,614.494410827318,442.011,612.258
1784546903996,7,437.920762516747,613.995249251386,442.43,611.756
1784546904096,7,438.176574438166,613.493581128996,442.848,611.253
1784546904196,7,438.432708146142,612.989497350627,443.267,610.75
1784546904296,7,438.688896843012,612.483092817635,443.685,610.247
1784546904396,7,438.944887581798,611.974467351704,444.015,609.748
1784546904496,7,439.200441603772,611.463726383789,444.13,609.257
1784546904596,7,439.455333511068,610.950980548836,444.246,608.765
1784546904696,7,439.709349842228,610.436346185306,444.361,608.274
1784546904796,7,439.962288630978,609.919943503099,444.476,607.783
1784546904896,7,440.213960438546,609.401897714362,444.591,607.291
1784546904996,7,440.46418918346,608.88234071456,444.706,606.8
1784546905096,7,440.712809870597,608.361409939749,444.821,606.309
1784546905196,7,440.959667102762,607.839244956074,444.936,605.818
1784546905296,7,441.204614330052,607.315988470442,445.051,605.326
1784546905396,7,441.447514000267,606.791788211927,445.166,604.835
1784546905496,7,441.688235761705,606.266797123732,445.281,604.344
1784546905596,7,441.926655058318,605.74117298607,445.396,603.853
1784546905696,7,442.162652003895,605.215076826167,445.511,603.361
1784546905796,7,442.396110095537,604.688673984872,445.626,602.87
1784546905896,7,442.626914445136,604.162134531086,445.742,602.379
1784546905996,7,442.854951859176,603.635634571031,445.857,601.888
1784546906096,7,443.080115496524,603.109358335532,445.972,601.396
1784546906196,7,443.302306671796,602.583499033829,446.087,600.905
1784546906296,7,443.521434189826,602.0582548471,446.202,600.414
1784546906396,7,443.737413965088,601.533818256109,446.317,599.922
1784546906496,7,443.950170607254,601.010374392924,446.432,599.431
1784546906596,7,444.159637644059,600.48809986868,446.547,598.94
1784546906696,7,444.365758862626,599.967162609263,446.662,598.449
1784546906796,7,444.568488013722,599.447722987122,446.777,597.957
1784546906896,7,444.767788247326,598.929934243257,446.892,597.466
1784546906996,7,444.96363146232,598.413941219607,447.007,596.975
1784546907096,7,445.155998163126,597.899881785873,447.122,596.484
1784546907196,7,445.344876738584,597.387888604471,447.237,595.992
1784546907296,7,445.530262559677,596.878089610657,447.353,595.501
1784546907396,7,445.712157096803,596.370608444722,447.468,595.01
1784546907496,7,445.890566984218,595.865563057343,447.583,594.519
1784546907596,7,446.0655033355,595.363063857795,447.698,594.027
1784546907696,7,446.236982564537,594.863213343479,447.813,593.536
1784546907796,7,446.405026171534,594.366105304626,447.928,593.045
1784546907896,7,446.569660031847,593.871825873022,448.043,592.553
1784546907996,7,446.73091196916,593.380455237869,448.158,592.062
1784546908096,7,446.888812798218,592.89206824906,448.273,591.571
1784546908196,7,447.04339617477,592.406732885875,448.388,591.08
1784546908296,7,447.194698572774,591.924511197472,448.503,590.588
1784546908396,7,447.342761424171,591.445460062342,448.618,590.097
1784546908496,7,447.487630655193,590.969630717681,448.733,589.606
1784546908596,7,447.629354112179,590.497068266991,448.848,589.115
1784546908696,7,447.767980547227,590.027812178325,448.964,588.623
1784546908796,7,447.903559494685,589.561896324709,449.079,588.132
1784546908896,7,448.036140981756,589.099347767463,449.194,587.641
1784546908996,7,448.165775882574,588.640186613463,449.309,587.149
1784546909096,7,448.292516000729,588.184424818162,449.424,586.658
1784546909196,7,448.416414239013,587.732067003874,449.539,586.167
1784546909296,7,448.537525298814,587.283111332031,449.654,585.676
1784546909396,7,448.655905467477,586.837547791627,449.769,585.184
1784546909496,7,448.771612326207,586.395358675299,449.884,584.693
1784546909596,7,448.884704264994,585.956518532302,449.999,584.202
1784546909696,7,448.995239941022,585.520995281864,450.114,583.711
1784546909796,7,449.103277750536,585.088750695683,450.229,583.219
1784546909896,7,449.208875580148,584.659739079885,450.344,582.728
1784546909996,7,449.31209143767,584.233908503645,450.459,582.237
1784546910096,7,449.412983434935,583.811202576841,450.575,581.746
1784546910196,7,449.511609508568,583.391561643261,450.69,581.254
1784546910296,7,449.608027814375,582.974925012289,450.805,580.763
1784546910396,7,449.702295937193,582.561232450732,450.885,580.403
1784546910496,7,449.794472452765,582.15042357789,450.958,580.07
1784546910596,7,449.884617065919,581.742438108226,451.031,579.736
1784546910696,7,449.972790180201,581.337215536042,451.105,579.402
1784546910796,7,450.059053049243,580.934694326335,451.178,579.069
1784546910896,7,450.143469655959,580.534811642155,451.251,578.735
1784546910996,7,450.226106870465,580.137502651288,451.324,578.402
1784546911096,7,450.307034007825,579.742701820513,451.398,578.068
1784546911196,7,450.386322429093,579.350344289689,451.471,577.734
1784546911296,7,450.464044947208,578.960365538794,451.544,577.401
1784546911396,7,450.540274809476,578.572701774709,451.617,577.067
1784546911496,7,450.615086230366,578.187290913506,451.69,576.734
1784546911596,7,450.688555251561,577.804072275961,451.764,576.4
1784546911696,7,450.76075963804,577.422987539492,451.837,576.067
1784546911796,7,450.831778508574,577.043981193887,451.91,575.733
1784546911896,7,450.901691768005,576.667001630581,451.983,575.399
1784546911996,7,450.970578873623,576.292001965283,452.057,575.066
1784546912096,7,451.038518506319,575.918940102747,452.13,574.732
1784546912196,7,451.10558939482,575.547774798672,452.203,574.399
1784546912296,7,451.171871200115,575.178464901947,452.276,574.065
1784546912396,7,451.237444444354,574.810970801921,452.35,573.731
1784546912496,7,451.302390199656,574.445255517658,452.423,573.398
1784546912596,7,451.366789907092,574.081283858401,452.496,573.064
1784546912696,7,451.430725569373,573.719022998203,452.569,572.731
1784546912796,7,451.494279839357,573.358441607934,452.643,572.397
1784546912896,7,451.557536774453,572.999508707078,452.716,572.063
1784546912996,7,451.620582053486,572.642194505888,452.789,571.73
1784546913096,7,451.683503680618,572.286470741924,452.862,571.396
1784546913196,7,451.746391687667,571.932310658583,452.936,571.063
1784546913296,7,451.809336828177,571.579688687812,453.009,570.729
1784546913396,7,451.872430292515,571.228579165494,453.082,570.396
1784546913496,7,451.935764962184,570.878958575331,453.155,570.062
1784546913596,7,451.999436638656,570.530805555706,453.228,569.728
1784546913696,7,452.063543640652,570.184101080728,453.302,569.395
1784546913796,7,452.128186463539,569.838829302349,453.375,569.061
1784546913896,7,452.193467679833,569.494976910865,453.448,568.728
1784546913996,7,452.259491217827,569.15253380436,453.521,568.394
1784546914096,7,452.326361101254,568.811493751692,453.595,568.06
1784546914196,7,452.394180640515,568.471852048823,453.668,567.727
1784546914296,7,452.463050633066,568.133602805345,453.741,567.393
1784546914396,7,452.533067126167,567.79673865053,453.814,567.06
1784546914496,7,452.604320627564,567.461251539642,453.888,566.726
1784546914596,7,452.67689772973,567.127132818727,453.961,566.392
1784546914696,7,452.750881814838,566.794374420077,454.034,566.059
1784546914796,7,452.826355177688,566.46297040547,454.107,565.725
1784546914896,7,452.903400854151,566.13291854463,454.181,565.392
1784546914996,7,452.982102907227,565.804222013558,454.254,565.058
1784546915096,7,453.062546903152,565.476891351158,454.327,564.725
1784546915196,7,453.144820161989,565.150944981222,454.4,564.391
1784546915296,7,453.229013210736,564.826407817452,454.474,564.057
1784546915396,7,453.315217513696,564.503310223665,454.547,563.724
1784546915496,7,453.40352396055,564.181687821028,454.62,563.39
1784546915596,7,453.494020515079,563.861577045118,454.693,563.057
1784546915696,7,453.586791316657,563.543011016645,454.766,562.723
1784546915796,7,453.681917537351,563.226019657042,454.84,562.389
1784546915896,7,453.779482074131,562.91063006976,454.913,562.056
1784546915996,7,453.879570962361,562.596867877473,454.986,561.722
1784546916096,7,453.98227523174,562.284760183942,455.059,561.389
1784546916196,7,454.087690437273,561.974340061304,455.133,561.055
1784546916296,7,454.195915149706,561.66564532656,455.206,560.722
1784546916396,7,454.30705507079,561.358720692839,455.279,560.388
1784546916496,7,454.421223975838,561.05362195958,455.352,560.054
1784546916596,7,454.538541999228,560.750413403159,455.426,559.721
1784546916696,7,454.65913159623,560.449163400255,455.499,559.387
1784546916796,7,454.783120033799,560.149946297094,455.572,559.054
1784546916896,7,454.910634724179,559.852835671875,455.645,558.72
1784546916996,7,455.041801516218,559.557903678183,455.719,558.386
1784546917096,7,455.17674523485,559.265223412652,455.792,558.053
1784546917196,7,455.315589748474,558.974870036022,455.865,557.719
1784546917296,7,455.458457049614,558.686919581676,455.938,557.386
1784546917396,7,455.605467098543,558.401447462064,456.012,557.052
1784546917496,7,455.756737545059,558.118528613436,456.085,556.718
1784546917596,7,455.912383099107,557.83823832895,456.158,556.385
1784546917696,7,456.072514936782,557.560652220412,456.231,556.051
1784546917796,7,456.237240432374,557.285846712026,456.304,555.718
1784546917896,7,456.406663115726,557.013898559369,456.378,555.384
1784546917996,7,456.580883677842,556.744885604565,456.451,555.051
1784546918096,7,456.759997648332,556.478887696047,456.524,554.717
1784546918196,7,456.944095319521,556.215986427339,456.597,554.383
1784546918296,7,457.133262311363,555.956260633553,456.671,554.05
1784546918396,7,457.32757802473,555.699785863489,456.744,553.716
1784546918496,7,457.52711405279,555.446634133376,456.817,553.383
1784546918596,7,457.731933081694,555.196872180657,456.89,553.049
1784546918696,7,457.942087678372,554.950558350132,456.964,552.715
1784546918796,7,458.157618964216,554.707741537207,457.037,552.382
1784546918896,7,458.378554433523,554.468461844163,457.11,552.048
1784546918996,7,458.60490697456,554.232751311577,457.183,551.715
1784546919096,7,458.836675158388,554.000633708652,457.257,551.381
1784546919196,7,459.073842812411,553.772124557624,457.621,551.309
1784546919296,7,459.316379784861,553.547231591226,457.987,551.239
1784546919396,7,459.564244511305,553.325954257413,458.353,551.169
1784546919496,7,459.817386774048,553.108284799347,458.719,551.099
1784546919596,7,460.075748179969,552.894208980778,459.085,551.028
1784546919696,7,460.33926346664,552.683707414138,459.451,550.958
1784546919796,7,460.607859987747,552.476756255576,459.817,550.888
1784546919896,7,460.88145689006,552.273328846792,460.183,550.818
1784546919996,7,461.159964898524,552.073397628846,460.549,550.747
1784546920096,7,461.443288066568,551.876935089704,460.915,550.677
1784546920196,7,461.731324044507,551.683913899271,461.281,550.607
1784546920296,7,462.023966508852,551.494307349034,461.647,550.537
1784546920396,7,462.321107252022,551.30808898632,462.014,550.467
1784546920496,7,462.622637431631,551.125232406747,462.38,550.396
1784546920596,7,462.92844830868,550.945711258787,462.746,550.326
1784546920696,7,463.2384306587,550.769499668237,463.112,550.256
1784546920796,7,463.552473611032,550.596573010768,463.478,550.186
1784546920896,7,463.870464113225,550.426908743256,463.844,550.115
1784546920996,7,464.192287558178,550.260487351951,464.21,550.045
1784546921096,7,464.517827818859,550.097293617298,464.576,549.975
1784546921196,7,464.84696821886,549.937317393997,464.942,549.905
1784546921296,7,465.179590597783,549.78055372204,465.308,549.834
1784546921396,7,465.515573777135,549.627002211892,465.674,549.764
1784546921496,7,465.854792748314,549.476665602903,466.04,549.694
1784546921596,7,466.197120840897,549.329549029184,466.406,549.624
1784546921696,7,466.542432748903,549.185657003158,466.772,549.554
1784546921796,7,466.890605916849,549.044992738788,467.138,549.483
1784546921896,7,467.241521656809,548.907558163378,467.504,549.413
1784546921996,7,467.595065365237,548.773354112791,467.87,549.343
1784546922096,7,467.951126649443,548.642380549323,468.236,549.273
1784546922196,7,468.309599138653,548.514635826679,468.602,549.202
1784546922296,7,468.670379596775,548.390116962442,468.968,549.132
1784546922396,7,469.033367174393,548.268820236316,469.335,549.062
1784546922496,7,469.398462436641,548.150741773215,469.701,548.992
1784546922596,7,469.76556860691,548.035877773745,470.067,548.921
